number,picname,Class,confidence
574,c00574.jpg,Basketball,1.0
575,c00575.jpg,Basketball,1.0
576,c00576.jpg,Basketball,1.0
577,c00577.jpg,Basketball,1.0
578,c00578.jpg,Basketball,1.0
579,c00579.jpg,Basketball,1.0
580,c00580.jpg,Basketball,1.0
581,c00581.jpg,Basketball,1.0
582,c00582.jpg,Basketball,1.0
583,c00583.jpg,Basketball,1.0
584,c00584.jpg,Basketball,0.9
585,c00585.jpg,Made_Shot,1.0
586,c00586.jpg,Made_Shot,1.0
587,c00587.jpg,Made_Shot,1.0
588,c00588.jpg,Made_Shot,1.0
589,c00589.jpg,Made_Shot,1.0
590,c00590.jpg,Basketball,0.99
591,c00591.jpg,Basketball,0.99
592,c00592.jpg,Basketball,1.0
593,c00593.jpg,Basketball,1.0
594,c00594.jpg,Basketball,1.0
595,c00595.jpg,Basketball,1.0
596,c00596.jpg,Basketball,1.0
597,c00597.jpg,Basketball,1.0
598,c00598.jpg,Basketball,1.0
599,c00599.jpg,Basketball,0.96
612,c00612.jpg,Basketball,0.82
613,c00613.jpg,Basketball,0.91
614,c00614.jpg,Basketball,0.99
615,c00615.jpg,Basketball,0.99
616,c00616.jpg,Basketball,0.99
617,c00617.jpg,Basketball,1.0
618,c00618.jpg,Basketball,0.99
619,c00619.jpg,Basketball,0.93
620,c00620.jpg,Basketball,0.97
621,c00621.jpg,Basketball,0.99
622,c00622.jpg,Basketball,0.94
623,c00623.jpg,Basketball,0.81
681,c00681.jpg,Basketball,1.0
682,c00682.jpg,Basketball,1.0
683,c00683.jpg,Basketball,1.0
684,c00684.jpg,Basketball,1.0
685,c00685.jpg,Basketball,1.0
686,c00686.jpg,Basketball,1.0
687,c00687.jpg,Basketball,1.0
688,c00688.jpg,Basketball,1.0
689,c00689.jpg,Basketball,1.0
690,c00690.jpg,Basketball,1.0
691,c00691.jpg,Basketball,1.0
692,c00692.jpg,Basketball,1.0
693,c00693.jpg,Basketball,1.0
694,c00694.jpg,Basketball,1.0
695,c00695.jpg,Basketball,1.0
696,c00696.jpg,Basketball,1.0
697,c00697.jpg,Basketball,1.0
698,c00698.jpg,Basketball,1.0
699,c00699.jpg,Basketball,1.0
700,c00700.jpg,Basketball,1.0
701,c00701.jpg,Basketball,1.0
702,c00702.jpg,Basketball,1.0
703,c00703.jpg,Basketball,1.0
704,c00704.jpg,Basketball,1.0
705,c00705.jpg,Basketball,1.0
706,c00706.jpg,Basketball,1.0
707,c00707.jpg,Basketball,1.0
708,c00708.jpg,Basketball,1.0
709,c00709.jpg,Basketball,1.0
710,c00710.jpg,Basketball,1.0
711,c00711.jpg,Basketball,1.0
712,c00712.jpg,Basketball,1.0
713,c00713.jpg,Basketball,1.0
714,c00714.jpg,Basketball,1.0
715,c00715.jpg,Basketball,1.0
716,c00716.jpg,Basketball,1.0
717,c00717.jpg,Basketball,1.0
718,c00718.jpg,Basketball,1.0
719,c00719.jpg,Basketball,1.0
720,c00720.jpg,Basketball,1.0
721,c00721.jpg,Basketball,0.93
723,c00723.jpg,Basketball,0.98
724,c00724.jpg,Basketball,0.99
725,c00725.jpg,Basketball,1.0
726,c00726.jpg,Basketball,0.99
727,c00727.jpg,Basketball,1.0
728,c00728.jpg,Basketball,1.0
729,c00729.jpg,Basketball,1.0
730,c00730.jpg,Basketball,1.0
731,c00731.jpg,Basketball,1.0
732,c00732.jpg,Basketball,1.0
733,c00733.jpg,Basketball,1.0
734,c00734.jpg,Basketball,1.0
735,c00735.jpg,Basketball,0.8
739,c00739.jpg,Basketball,0.84
740,c00740.jpg,Basketball,1.0
741,c00741.jpg,Basketball,1.0
742,c00742.jpg,Basketball,1.0
743,c00743.jpg,Basketball,1.0
744,c00744.jpg,Basketball,1.0
745,c00745.jpg,Basketball,0.99
746,c00746.jpg,Basketball,1.0
747,c00747.jpg,Basketball,1.0
748,c00748.jpg,Basketball,0.99
749,c00749.jpg,Basketball,0.99
750,c00750.jpg,Basketball,0.99
751,c00751.jpg,Basketball,1.0
752,c00752.jpg,Basketball,0.99
753,c00753.jpg,Basketball,1.0
754,c00754.jpg,Basketball,0.99
755,c00755.jpg,Basketball,0.99
756,c00756.jpg,Basketball,1.0
757,c00757.jpg,Basketball,0.99
758,c00758.jpg,Basketball,1.0
759,c00759.jpg,Basketball,1.0
760,c00760.jpg,Basketball,1.0
761,c00761.jpg,Basketball,1.0
762,c00762.jpg,Basketball,0.99
763,c00763.jpg,Basketball,1.0
764,c00764.jpg,Basketball,1.0
765,c00765.jpg,Basketball,1.0
766,c00766.jpg,Basketball,1.0
767,c00767.jpg,Basketball,0.99
768,c00768.jpg,Basketball,1.0
769,c00769.jpg,Basketball,1.0
770,c00770.jpg,Basketball,0.99
771,c00771.jpg,Basketball,1.0
772,c00772.jpg,Basketball,1.0
